Route-name;Routenumber;node;Reference;name in text;millia passum;Leuga;Pleiades nr.;modern name;Lat;Long
;7;t;372.1;Ponte Sarvix;24;;109298;Saarbrücken - see also Keune 1920, RE 2R02bdIA2, p.2430;49.22383;7.024184
;7;u;372.2;Argentorato;22;;108754;Straatsburg;48.582416;7.747407
A Treveros Agrippinam;8;a;372.3;Treveros;;62;108894;Trier;49.75232117;6.641638273
;8;b;372.4;Beda Vicus;;12;108798;Bitburg;49.97438103;6.523513913
;8;c;372.5;Ausava vicus;;12;896552547;?;?;?
;8;d;373.1;Egorigio vicus;;8;109062;Icorigium - Jünkerath - see also Haug-Keune 1914, RE IX.1, p. 855;50.34451669;6.581231585
;8;e;373.2;Marcomago vicus;;8;109141;Nettersheim-Marmagen;50.4775698;6.6218017
;8;f;373.3;Belgica;;8;108801;Euskirchen-Billig;50.626011;6.783363
;8;g;373.4;Tolbiaco vicus Sopenorum;;10;109382;Zülpich;50.6912725;6.647617
;8;h;373.5;Agrippina civitas;;16;108751;Köln;50.940662;6.9599065
Item a Treveris Argentorato;9;a;374.1;Treveris;128;;108894;Trier;49.75232117;6.641638273
;9;b;374.2;Baudobrica;18;;108817;Boppard - Ihm 1897, REIII.1, p. 151;50.2310055;7.5918335
;9;c;374.3;Salisione;22;;109319;Bad Salzig;50.205045;7.63308
;9;d;374.4;Vingio;23;;108809;Bingen - see also Heinz Cüppers 1958, RE 2R16bdVIIIA2, p. 2590;49.96790555;7.89377555
;9;e;374.5;Mogontiaco;12;;109169;Mainz;49.998912;8.273869
;9;f;374.6;Bormitomago;16;;108820;Worms - Ihm 1897, REIII.1, p. 720;49.630359;8.3588465
;9;g;374.7;Noviomago;18;;109224;Speyer;49.3172545;8.436718
;9;h;374.8;Argentorato;19;;108754;Straatsburg;48.582416;7.747407
Item a Colonia Traiana Coloniam Agrippinam;10;a;375.1-2;Colonia Traiana;71;;108896;Xanten;51.6679345;6.4481775
;10;b;375.3;Mediolano;8;;;"Pont-Mylen-Geldern? - See also Wackernagel 1931, REXV.1, p. 95, CIL XIII.2 p. 602; cf. Digital Atlas of the Roman Empire ID 19195";51.49171;6.29619
;10;c;375.4;Sablonibus;8;;109300;Venlo?;51.372731;6.172374
;10;d;375.5;Mederiacum;10;;109152;Melick;51.157771;6.018727
;10;e;375.6;Teudurum;8;;109373;Tüddem?;51.014249;5.902303
;10;f;375.7;Coriovallum;7;;108908;Heerlen;50.883046;5.980935
;10;g;375.8;Iuliaco;12;;109068;Jülich;50.921007;6.361194
;10;h;375.9;Tiberiacum;8;;109378;Bergheim-Zieverich/Thorr;50.9438515;6.622018
;10;i;376.1;Colonia Agrippina;10;;108751;Köln;50.940662;6.9599065
Item a portu Gesoricensi Bagacum usque;11;a;376.2-3;Gesoricensi;83;;109008;Boulogne;50.72567467;1.614831667
;11;b;376.4;Tarvenna;18;;109366;Thérouanne;50.635487;2.256822
;11;c;376.5;Castello;9;;108865;Cassel;50.799218;2.486896
;11;d;376.6;Viroviacum;16;;109439;Wervik;50.7792295;3.044069
;11;e;376.7;Turnacum;16;;109398;Tournai;50.605679;3.3882855
;11;f;376.8;Pontes Caldis;12;;109256;Escaupont;50.421832;3.561866
;11;g;377.1;Bagacum;12;;108788;Bavai/Bavay;50.2977855;3.792415
A Castello per conpendium Turnacum usque;12;a;377.2-3;Castello;38;;108865;Cassel;50.799218;2.486896
;12;b;377.4;Minariacum;11;;109165;Estaires;50.644574;2.721531
;12;c;377.5;Turnacum;27;;109398;Tournai;50.605679;3.3882855
A Castello Colonia;13;a;377.6;Castello;172;;108865;Cassel;50.799218;2.486896
;13;b;377.7;Minariacum;11;;109165;Estaires;50.644574;2.721531
;13;c;377.8;Nemetacum;19;;109194;Arras;50.2927655;2.778586
;13;d;377.9;Camaracum;14;;108850;Cambrai;50.175165;3.234282
